timestamp,website_id,requests,error_rate,latency,threat_level,action_taken
2026-01-27T16:11:32.119Z,1,146,0.005,20,idle,None
2026-01-27T16:11:32.135Z,2,32,0.005,20,idle,None
2026-01-27T16:11:32.137Z,3,26,0.005,20,idle,None
2026-01-27T16:11:32.140Z,4,0,0.005,20,idle,None
2026-01-27T16:11:32.142Z,5,3,0.005,20,idle,None
2026-01-27T16:11:32.144Z,1,75,0.005,20,idle,None
2026-01-27T16:11:32.176Z,2,11,0.005,20,idle,None
2026-01-27T16:11:32.178Z,3,13,0.005,20,idle,None
2026-01-27T16:11:32.182Z,4,1,0.005,20,idle,None
2026-01-27T16:11:32.185Z,5,3,0.005,20,idle,None
2026-01-27T16:11:32.656Z,1,54,0.005,20,idle,None
2026-01-27T16:11:32.687Z,2,35,0.005,20,idle,None
2026-01-27T16:11:32.690Z,3,18,0.005,20,idle,None
2026-01-27T16:11:32.693Z,4,9,0.005,20,idle,None
2026-01-27T16:11:32.694Z,5,2,0.005,20,idle,None
2026-01-27T16:11:33.166Z,1,126,0.005,20,idle,None
2026-01-27T16:11:33.197Z,2,74,0.005,20,idle,None
2026-01-27T16:11:33.198Z,3,3,0.005,20,idle,None
2026-01-27T16:11:33.200Z,4,9,0.005,20,idle,None
2026-01-27T16:11:33.201Z,5,2,0.005,20,idle,None
2026-01-27T16:11:33.678Z,1,114,0.005,20,idle,None
2026-01-27T16:11:33.710Z,2,43,0.005,20,idle,None
2026-01-27T16:11:33.712Z,3,7,0.005,20,idle,None
2026-01-27T16:11:33.715Z,5,1,0.005,20,idle,None
2026-01-27T16:11:33.714Z,4,1,0.005,20,idle,None
2026-01-27T16:11:34.190Z,1,141,0.005,20,idle,None
2026-01-27T16:11:34.220Z,2,14,0.005,20,idle,None
2026-01-27T16:11:34.223Z,3,7,0.005,20,idle,None
2026-01-27T16:11:34.224Z,4,7,0.005,20,idle,None
2026-01-27T16:11:34.225Z,5,0,0.005,20,idle,None
2026-01-27T16:11:34.700Z,1,4,0.005,20,idle,None
2026-01-27T16:11:34.733Z,2,1,0.005,20,idle,None
2026-01-27T16:11:34.736Z,3,19,0.005,20,idle,None
2026-01-27T16:11:34.738Z,4,4,0.005,20,idle,None
2026-01-27T16:11:34.740Z,5,2,0.005,20,idle,None
2026-01-27T16:11:35.210Z,1,177,0.005,20,idle,None
2026-01-27T16:11:35.241Z,2,58,0.005,20,idle,None
2026-01-27T16:11:35.242Z,3,20,0.005,20,idle,None
2026-01-27T16:11:35.243Z,4,11,0.005,20,idle,None
2026-01-27T16:11:35.244Z,5,2,0.005,20,idle,None
2026-01-27T16:11:35.723Z,1,69,0.005,20,idle,None
2026-01-27T16:11:35.753Z,2,67,0.005,20,idle,None
2026-01-27T16:11:35.755Z,3,7,0.005,20,idle,None
2026-01-27T16:11:35.756Z,4,3,0.005,20,idle,None
2026-01-27T16:11:35.758Z,5,0,0.005,20,idle,None
2026-01-27T16:11:36.232Z,1,55,0.005,20,idle,None
2026-01-27T16:11:36.265Z,2,19,0.005,20,idle,None
2026-01-27T16:11:36.267Z,3,14,0.005,20,idle,None
2026-01-27T16:11:36.268Z,4,9,0.005,20,idle,None
2026-01-27T16:11:36.270Z,5,0,0.005,20,idle,None
2026-01-27T16:11:36.743Z,1,25,0.005,20,idle,None
2026-01-27T16:11:36.774Z,2,33,0.005,20,idle,None
2026-01-27T16:11:36.775Z,3,25,0.005,20,idle,None
2026-01-27T16:11:36.779Z,5,2,0.005,20,idle,None
2026-01-27T16:11:36.777Z,4,1,0.005,20,idle,None
2026-01-27T16:11:37.258Z,1,161,0.005,20,idle,None
2026-01-27T16:11:37.289Z,2,70,0.005,20,idle,None
2026-01-27T16:11:37.290Z,3,7,0.005,20,idle,None
2026-01-27T16:11:37.293Z,5,1,0.005,20,idle,None
2026-01-27T16:11:37.292Z,4,2,0.005,20,idle,None
2026-01-27T16:11:37.768Z,1,23,0.005,20,idle,None
2026-01-27T16:11:37.800Z,2,29,0.005,20,idle,None
2026-01-27T16:11:37.801Z,3,13,0.005,20,idle,None
2026-01-27T16:11:37.802Z,4,13,0.005,20,idle,None
2026-01-27T16:11:37.804Z,5,1,0.005,20,idle,None
2026-01-27T16:11:38.278Z,1,59,0.005,20,idle,None
2026-01-27T16:11:38.311Z,3,16,0.005,20,idle,None
2026-01-27T16:11:38.309Z,2,33,0.005,20,idle,None
2026-01-27T16:11:38.313Z,5,3,0.005,20,idle,None
2026-01-27T16:11:38.312Z,4,11,0.005,20,idle,None
2026-01-27T16:11:38.790Z,1,37,0.005,20,idle,None
2026-01-27T16:11:38.821Z,2,37,0.005,20,idle,None
2026-01-27T16:11:38.823Z,3,22,0.005,20,idle,None
2026-01-27T16:11:38.825Z,4,2,0.005,20,idle,None
2026-01-27T16:11:38.826Z,5,0,0.005,20,idle,None
2026-01-27T16:11:39.303Z,1,46,0.005,20,idle,None
2026-01-27T16:11:39.333Z,2,10,0.005,20,idle,None
2026-01-27T16:11:39.334Z,3,25,0.005,20,idle,None
2026-01-27T16:11:39.337Z,5,0,0.005,20,idle,None
2026-01-27T16:11:39.336Z,4,8,0.005,20,idle,None
2026-01-27T16:11:39.814Z,1,123,0.005,20,idle,None
2026-01-27T16:11:39.845Z,2,34,0.005,20,idle,None
2026-01-27T16:11:39.846Z,3,24,0.005,20,idle,None
2026-01-27T16:11:39.849Z,5,2,0.005,20,idle,None
2026-01-27T16:11:39.848Z,4,7,0.005,20,idle,None
2026-01-27T16:11:40.325Z,1,78,0.005,20,idle,None
2026-01-27T16:11:40.358Z,2,31,0.005,20,idle,None
2026-01-27T16:11:40.360Z,3,6,0.005,20,idle,None
2026-01-27T16:11:40.362Z,4,7,0.005,20,idle,None
2026-01-27T16:11:40.363Z,5,1,0.005,20,idle,None
2026-01-27T16:11:40.839Z,1,178,0.005,20,idle,None
2026-01-27T16:11:40.871Z,2,50,0.005,20,idle,None
2026-01-27T16:11:40.872Z,3,16,0.005,20,idle,None
2026-01-27T16:11:40.874Z,4,3,0.005,20,idle,None
2026-01-27T16:11:40.875Z,5,0,0.005,20,idle,None
2026-01-27T16:11:41.347Z,1,4,0.005,20,idle,None
2026-01-27T16:11:41.380Z,2,6,0.005,20,idle,None
2026-01-27T16:11:41.382Z,3,26,0.005,20,idle,None
2026-01-27T16:11:41.383Z,4,12,0.005,20,idle,None
2026-01-27T16:11:41.384Z,5,2,0.005,20,idle,None
2026-01-27T16:11:41.857Z,1,24,0.005,20,idle,None
2026-01-27T16:11:41.889Z,2,34,0.005,20,idle,None
2026-01-27T16:11:41.891Z,3,11,0.005,20,idle,None
2026-01-27T16:11:41.893Z,4,0,0.005,20,idle,None
2026-01-27T16:11:41.895Z,5,0,0.005,20,idle,None
2026-01-27T16:11:42.356Z,1,46,0.005,20,idle,None
2026-01-27T16:11:42.390Z,2,45,0.005,20,idle,None
2026-01-27T16:11:42.393Z,4,13,0.005,20,idle,None
2026-01-27T16:11:42.391Z,3,21,0.005,20,idle,None
2026-01-27T16:11:42.394Z,5,2,0.005,20,idle,None
2026-01-27T16:11:42.869Z,1,34,0.005,20,idle,None
2026-01-27T16:11:42.900Z,2,74,0.005,20,idle,None
2026-01-27T16:11:42.901Z,3,4,0.005,20,idle,None
2026-01-27T16:11:42.902Z,4,4,0.005,20,idle,None
2026-01-27T16:11:42.903Z,5,3,0.005,20,idle,None
2026-01-27T16:11:43.377Z,1,165,0.005,20,idle,None
